createdAt;chargeLevelPercent;houseLoadPowerW;batteryVoltageV;dischargingCurrentA
Mon Feb 05 2024 13:33:21 GMT+0000 (Coordinated Universal Time);95;3;53.4;0
Mon Feb 05 2024 13:33:27 GMT+0000 (Coordinated Universal Time);95;6;53.3;0
Mon Feb 05 2024 13:33:32 GMT+0000 (Coordinated Universal Time);95;0;53.4;0
Mon Feb 05 2024 13:33:38 GMT+0000 (Coordinated Universal Time);95;0;53.4;0
Mon Feb 05 2024 13:33:43 GMT+0000 (Coordinated Universal Time);95;0;53.4;0
Mon Feb 05 2024 13:33:49 GMT+0000 (Coordinated Universal Time);95;0;53.7;0
Mon Feb 05 2024 13:33:54 GMT+0000 (Coordinated Universal Time);95;7;53.5;0
Mon Feb 05 2024 13:34:00 GMT+0000 (Coordinated Universal Time);95;0;53.4;0
Mon Feb 05 2024 13:34:05 GMT+0000 (Coordinated Universal Time);95;0;53.3;0
Mon Feb 05 2024 13:34:11 GMT+0000 (Coordinated Universal Time);95;0;53.4;0
Mon Feb 05 2024 13:34:17 GMT+0000 (Coordinated Universal Time);95;0;53.4;0
Mon Feb 05 2024 13:34:24 GMT+0000 (Coordinated Universal Time);95;0;53.5;0
Mon Feb 05 2024 13:34:29 GMT+0000 (Coordinated Universal Time);95;7;53.5;0
Mon Feb 05 2024 13:35:45 GMT+0000 (Coordinated Universal Time);95;0;53.4;0
Mon Feb 05 2024 13:35:51 GMT+0000 (Coordinated Universal Time);95;0;53.4;0
Mon Feb 05 2024 13:35:57 GMT+0000 (Coordinated Universal Time);95;4;53.4;0
Mon Feb 05 2024 13:36:09 GMT+0000 (Coordinated Universal Time);95;11;53.5;0
Mon Feb 05 2024 13:36:17 GMT+0000 (Coordinated Universal Time);95;0;53.5;0
Mon Feb 05 2024 13:36:23 GMT+0000 (Coordinated Universal Time);95;0;53.5;0
Mon Feb 05 2024 13:36:30 GMT+0000 (Coordinated Universal Time);95;0;53.5;0
Mon Feb 05 2024 13:36:36 GMT+0000 (Coordinated Universal Time);95;0;53.6;0
Mon Feb 05 2024 13:36:42 GMT+0000 (Coordinated Universal Time);95;0;53.7;0
Mon Feb 05 2024 13:36:47 GMT+0000 (Coordinated Universal Time);95;0;53.6;0
Mon Feb 05 2024 13:37:28 GMT+0000 (Coordinated Universal Time);95;0;53.3;0
Mon Feb 05 2024 13:38:52 GMT+0000 (Coordinated Universal Time);95;0;53.7;0
Mon Feb 05 2024 13:38:58 GMT+0000 (Coordinated Universal Time);95;0;53.7;0
Mon Feb 05 2024 13:39:03 GMT+0000 (Coordinated Universal Time);95;0;53.9;0
Mon Feb 05 2024 13:39:08 GMT+0000 (Coordinated Universal Time);95;0;53.9;0
Mon Feb 05 2024 13:39:14 GMT+0000 (Coordinated Universal Time);95;0;53.7;0
Mon Feb 05 2024 13:39:20 GMT+0000 (Coordinated Universal Time);95;0;53.7;0
Mon Feb 05 2024 13:39:26 GMT+0000 (Coordinated Universal Time);95;0;53.7;0
Mon Feb 05 2024 13:39:31 GMT+0000 (Coordinated Universal Time);95;0;53.7;0
Mon Feb 05 2024 13:39:37 GMT+0000 (Coordinated Universal Time);95;0;53.7;0
Mon Feb 05 2024 13:39:43 GMT+0000 (Coordinated Universal Time);95;0;53.7;0
Mon Feb 05 2024 13:39:49 GMT+0000 (Coordinated Universal Time);95;0;53.8;0
Mon Feb 05 2024 13:39:55 GMT+0000 (Coordinated Universal Time);95;6;53.9;0
Mon Feb 05 2024 13:40:02 GMT+0000 (Coordinated Universal Time);95;0;53.7;0
Mon Feb 05 2024 13:40:08 GMT+0000 (Coordinated Universal Time);95;0;53.7;0
Mon Feb 05 2024 13:40:14 GMT+0000 (Coordinated Universal Time);95;0;53.8;0
Mon Feb 05 2024 13:40:21 GMT+0000 (Coordinated Universal Time);95;0;53.8;0
Mon Feb 05 2024 13:40:30 GMT+0000 (Coordinated Universal Time);95;0;53.8;0
Mon Feb 05 2024 13:40:35 GMT+0000 (Coordinated Universal Time);95;0;53.8;0
Mon Feb 05 2024 13:40:41 GMT+0000 (Coordinated Universal Time);95;0;53.8;0
Mon Feb 05 2024 13:40:48 GMT+0000 (Coordinated Universal Time);95;0;53.8;0
Mon Feb 05 2024 13:40:53 GMT+0000 (Coordinated Universal Time);95;0;53.8;0
Mon Feb 05 2024 13:40:58 GMT+0000 (Coordinated Universal Time);95;0;53.8;0
Mon Feb 05 2024 13:41:04 GMT+0000 (Coordinated Universal Time);95;0;53.8;0
Mon Feb 05 2024 13:41:10 GMT+0000 (Coordinated Universal Time);95;0;53.8;0
Mon Feb 05 2024 13:41:15 GMT+0000 (Coordinated Universal Time);95;0;53.8;0
Mon Feb 05 2024 13:41:21 GMT+0000 (Coordinated Universal Time);95;0;54.2;0
Mon Feb 05 2024 13:41:28 GMT+0000 (Coordinated Universal Time);95;0;53.8;0
Mon Feb 05 2024 13:41:38 GMT+0000 (Coordinated Universal Time);95;0;53.8;0
Mon Feb 05 2024 13:42:32 GMT+0000 (Coordinated Universal Time);95;2;53.9;0
Mon Feb 05 2024 13:42:38 GMT+0000 (Coordinated Universal Time);95;0;53.9;0
Mon Feb 05 2024 13:42:44 GMT+0000 (Coordinated Universal Time);95;0;53.9;0
Mon Feb 05 2024 13:42:49 GMT+0000 (Coordinated Universal Time);95;0;54;0
Mon Feb 05 2024 13:42:55 GMT+0000 (Coordinated Universal Time);95;0;54;0
Mon Feb 05 2024 13:43:01 GMT+0000 (Coordinated Universal Time);95;0;53.9;0
Mon Feb 05 2024 13:43:06 GMT+0000 (Coordinated Universal Time);95;0;53.9;0
Mon Feb 05 2024 13:43:13 GMT+0000 (Coordinated Universal Time);95;0;53.9;0
